Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 26, 2023","18,038.00","18,153.00","17,974.00","18,073.00","18,073.00","1,606"
"Apr 25, 2023","18,000.00","18,077.00","17,927.00","18,038.00","18,038.00","1,057"
"Apr 24, 2023","17,847.00","17,974.00","17,847.00","17,950.00","17,950.00","1,031"
"Apr 21, 2023","17,798.00","17,829.00","17,733.00","17,772.00","17,772.00","1,290"
"Apr 20, 2023","17,912.00","17,912.00","17,743.00","17,793.00","17,793.00",251
"Apr 19, 2023","17,877.00","17,983.00","17,877.00","17,848.00","17,848.00","2,795"
"Apr 18, 2023","17,910.00","18,000.00","17,841.00","17,912.00","17,912.00","43,660"
"Apr 17, 2023","17,801.00","17,900.00","17,794.00","17,912.00","17,912.00",851
"Apr 14, 2023","17,922.00","17,922.00","17,786.00","17,819.00","17,819.00","3,799"
"Apr 13, 2023","18,000.00","18,000.00","17,770.00","17,786.00","17,786.00","3,040"
"Apr 12, 2023","17,840.00","18,047.00","17,840.00","18,000.00","18,000.00","3,853"
"Apr 11, 2023","17,931.00","17,931.00","17,654.00","17,803.00","17,803.00","3,875"
"Apr 06, 2023","17,306.00","17,646.00","17,306.00","17,597.00","17,597.00","6,805"
"Apr 05, 2023","17,160.00","17,220.00","17,062.00","17,190.00","17,190.00","1,357"
"Apr 04, 2023","17,133.00","17,243.00","17,068.00","17,212.00","17,212.00","3,007"
"Apr 03, 2023","17,038.00","17,089.00","16,972.00","17,037.00","17,037.00","1,785"
"Mar 31, 2023","16,887.00","16,905.00","16,754.00","16,795.00","16,795.00","1,911"
"Mar 30, 2023","17,084.00","17,084.00","16,800.00","16,897.00","16,897.00","7,185"
"Mar 29, 2023","16,982.00","16,982.00","16,954.00","16,873.00","16,873.00",563
"Mar 28, 2023","16,942.00","16,962.00","16,715.00","16,813.00","16,813.00","1,298"
"Mar 27, 2023","16,771.00","16,889.00","16,771.00","16,834.00","16,834.00",216
"Mar 24, 2023","16,564.00","16,663.00","16,400.00","16,442.00","16,442.00","1,305"
"Mar 23, 2023","16,892.00","16,901.00","16,709.00","16,811.00","16,811.00","1,665"
"Mar 22, 2023","17,035.00","17,171.00","16,976.00","17,027.00","17,027.00","1,001"
"Mar 20, 2023","16,300.00","16,838.00","16,230.00","16,809.00","16,809.00","2,739"
"Mar 17, 2023","16,574.00","16,764.00","16,389.00","16,383.00","16,383.00","3,204"
"Mar 16, 2023","16,413.00","16,538.00","16,350.00","16,462.00","16,462.00","5,781"
"Mar 15, 2023","16,890.00","16,890.00","16,400.00","16,394.00","16,394.00",730
"Mar 14, 2023","16,770.00","16,770.00","16,670.00","16,774.00","16,774.00",714
"Mar 13, 2023","17,171.00","17,171.00","16,590.00","16,779.00","16,779.00","1,033"
"Mar 10, 2023","17,200.00","17,228.00","17,001.00","17,001.00","17,001.00","1,055"
"Mar 09, 2023","17,400.00","17,439.00","17,266.00","17,485.00","17,485.00","1,801"
"Mar 08, 2023","17,300.00","17,420.00","17,276.00","17,368.00","17,368.00","1,190"
"Mar 07, 2023","17,466.00","17,562.00","17,392.00","17,484.00","17,484.00","8,533"
